URL,Title,Neighborhood,Price,Built Area,Land Area,Bedrooms,Bathrooms,Garage,Stratum,Year Built,Administration Fee,Property Type,Business Type,Status,Extraction Date,Error,Property_Category,Description,Features,Features_Count,Is_Project
https://www.properati.com.co/detalle/14032-32-fc38-aadd483590c7-19abe38-ae5a-78df,Casa en venta en Centro,"Centro, La Ceja, Antioquia",$ 2.600.000.000,266 m²,2.500 m²,3,2,1,4,2021,$ 600.000,Casa,Venta,N/A,2025-12-10 11:48,,Construcción,"Hermosa casa campestre – Vía San Antonio–La Ceja En esta espectacular casa campestre encontrarás un ambiente tranquilo, rodeado de naturaleza y con espacios cálidos que invitan al descanso y la conexión. ✨ Lo que ofrece: • Espacios acogedores y llenos de luz • Entorno natural perfecto para relajarse • Unidad con salón social • Cancha de fútbol para disfrutar con amigos • Hermoso lago, ideal para compartir momentos especiales en familia Vive la experiencia de la vida campestre sin renunciar a la comodidad. 🌿💚","Parqueadero, Cocina integral, Vista panorámica, Chimenea, Bodega, Balcón, Jacuzzi, Alarma, Agua, Parques, Centros comerciales",11,
https://www.properati.com.co/detalle/14032-32-bd7f-6684d0aa883d-19add1e-a203-7e77,Apartaestudio en venta en Rionegro,"Rionegro, Antioquia",$ 650.000.000,78 m²,78 m²,3,2,1,4,2021,$ 300.000,Apartaestudio,Venta,N/A,2025-12-10 11:49,,Construcción,"✨ ¡Vive en Ipanema Campestre! ✨Un espacio moderno, elegante y con todas las comodidades que buscas. Características del apartamento • 78 m² • 3 habitaciones • 2 baños • 2 balcones • 2 cuartos útiles • 1 parqueadero • Piso en porcelanato mate • Lavaplatos eléctrico • Cerradura digital (huella + clave) • Polarizado para mayor privacidad🌳 Zonas comunes que enamoran • Piscina climatizada • Sauna • Turco • Salón social • Senderos peatonales • Amplias zonas verdes • Vigilancia permanente💰 Administración: $300.000 aprox.💵 Valor del apartamento: $650.000.000","Parqueadero, Cocina integral, Gas natural, Balcón, Vista panorámica, Agua, Seguridad privada, Área infantil, Piscina, Ascensor, Colegios, Parques, Centros comerciales",13,
https://www.properati.com.co/detalle/14032-32-29f0-76718aa9c27-19a8078-bbbf-77be,Casa en venta en Rionegro,"Rionegro, Antioquia",$ 1.050.000.000,190 m²,190 m²,4,4,1,4,2018,N/A,Casa,Venta,N/A,2025-12-10 11:49,,Construcción,"Casa familiar en el corazón de San Antonio de Pereira! Comodidad, amplitud y ubicación en una de las zonas más apetecidas del Oriente Antioqueño 🧱 Casa de 2 pisos – 190 m² construidos 🌿 En unidad abierta con zona verde 4 habitaciones 5 baños 🚗 1 garaje + 1 cuarto útil 📚 1 estudio o estar de TV 🌿 1 patio con zona verde Cocina integral amplia 🧺 Zona de ropas y lavado 🌞 3 balcones con excelente iluminación ✅ Espacios cómodos para toda la familia ✅ Cercanía a todo: supermercados, restaurantes, iglesias, colegios ✅ Ideal para vivir o invertir 💰 Valor: $1.050.000.000 COP Escríbenos para agendar tu visita y conocer esta excelente oportunidad","Parqueadero, Balcón, Alarma, Bodega, Internet, Cocina integral, Agua, Jardín, Centros comerciales",9,
https://www.properati.com.co/detalle/14032-32-f108-880cb0bb53a0-19abe39-bcfa-7988,Casa en venta en La Ceja,"La Ceja, Antioquia",$ 2.490.000.000,300 m²,6.060 m²,4,4,1,3,2021,N/A,Casa,Venta,N/A,2025-12-10 11:49,,Construcción,"✨ Casa campestre independiente en El Yarumo – Vía San Antonio–La Ceja ¿Buscas una finca con amplio terreno, naturaleza y todas las comodidades? ¡Esta propiedad es ideal! 🌿 Destacados: • Terreno perfecto para tener tus caballos • Hilo de agua que cruza la propiedad: frescura y encanto natural • Privacidad total en un sector tranquilo y de alta valorización Vive la experiencia campestre con el espacio y la libertad que siempre soñaste. ¡Una oportunidad única en una de las mejores zonas de La Ceja! 💚✨","Parqueadero, Cocina integral, Cuarto de servicio, Agua, Balcón, Vista panorámica, Chimenea, Bodega, Colegios, Parques, Centros comerciales",11,
https://www.properati.com.co/detalle/14032-32-72ef-900076934cf0-19ad7e7-9fa5-7526,Apartamento en venta en Rionegro,"Rionegro, Antioquia",$ 600.000.000,79 m²,79 m²,3,2,1,4,2021,$ 319.000,Apartamento,Venta,N/A,2025-12-10 11:49,,Construcción,"✨ ¡Tu próximo hogar te está esperando en San Antonio de Pereira ✨ Descubre este hermoso apartamento con 79 m², perfecto para quienes buscan comodidad, ubicación y una excelente zona social. Características del apartamento 3 habitaciones 2 baños Sala–comedor amplia Cocina Zona de ropas independiente Balcón con excelente vista Parqueadero en el piso 2 Cuarto útil justo al lado del parqueadero 10 años de construcción 🌟 Zonas comunes ideales para disfrutar Salón social Sendero peatonal Parque infantil Piscina climatizada Sauna Turco 💰 Administración: $319.000 Un espacio pensado para tu bienestar, en un sector tranquilo y con todas las comodidades. ¡Perfecto para vivir o invertir 👌","Parqueadero, Balcón, Vista panorámica, Internet, Cocina integral, Gas natural, Seguridad privada, Área infantil, Piscina, Jardín, Colegios, Parques, Centros comerciales, Avenidas principales",14,
https://www.properati.com.co/detalle/14032-32-1501-97063c593540-19a5493-904f-7abc,Apartamento en venta en Cuatro Esquinas,"Cuatro Esquinas, La Ceja, Antioquia",$ 950.000.000,115 m²,1 m²,3,2,1,4,2025,$ 500.000,Apartamento,Venta,N/A,2025-12-10 11:49,,Construcción,"Venta / Alquiler – Apartamento en Retiro, Antioquia Ubicación: A solo 2 cuadras del parque principal del Retiro, sobre vía principal. Proyecto nuevo: 3 torres (2 terminadas y 1 en construcción). Construido hace 1 mes. ✨ Características del inmueble: Área: 115 m² Torre 2 – Dúplex 8 apartamentos por piso 1 ascensor por torre 2 habitaciones principales con vestier 1 habitación auxiliar (o sala de TV / estudio) 2 baños completos + 1 baño social Sala amplia Terraza + patio 1 parqueadero 2 cuartos útiles Chapa de seguridad Inmueble nuevo, sin estrenar 🌿 Zonas comunes (en construcción): Jacuzzi, piscina y solárium 💰 Valor de venta: $950.000.000 💵 Canon de arrendamiento: $4.000.000 📦 Recibo inmuebles como parte de pago 🧾 Administración: $500.000","Parqueadero, Cocina integral, Gas natural, Balcón, Jacuzzi, Agua, Seguridad privada, Piscina, Gimnasio, Ascensor, Parques, Centros comerciales",12,
https://www.properati.com.co/detalle/14032-32-c440-e0ae8c6923ee-19a8aac-b682-7f4f,Casa en venta en Cuatro Esquinas,"Cuatro Esquinas, La Ceja, Antioquia",$ 2.080.000.000,209 m²,5.800 m²,3,3,1,5,2022,$ 703.000,Casa,Venta,N/A,2025-12-10 11:49,,Construcción,"✨ Vive la exclusividad en La Ceja ✨ Una propiedad única rodeada de naturaleza, privacidad y confort. 💰 Valor: $2.200.000.000 Km 3 vía La Ceja – Rionegro | Estrato 5 Características destacadas: • 🌳 Lote de 5.800 m² con bosque nativo y nacimientos de agua. • 209 m² construidos en diseño contemporáneo y funcional. • 2 habitaciones con baño + estudio (opción 3ra habitación). • Cocina de concepto abierto integrada con la sala de TV. • 🌄 2 terrazas con vistas panorámicas (45 m²). • 🚗 Parqueadero cubierto para 2 vehículos + zona de star, baño y cuarto útil. • 🧱 Construcción moderna con placa termoacústica. • Administración: $703.000 (incluye acueducto propio). • 📑 Predial 2025: $4.134.000. La parcelación ofrece: ✓ Portería y vigilancia 24/7 ✓ Circuito cerrado de TV ✓ Acceso pavimentado ✓ Transporte público cercano ✓ A minutos de centros comerciales y zona gastronómica ✨ Un refugio natural con todas las comodidades modernas. Agenda tu visita y enamórate. ✨","Parqueadero, Cocina integral, Gas natural, Agua, Balcón, Vista panorámica, Chimenea, Bodega, Seguridad privada, Colegios, Parques, Centros comerciales",12,
https://www.properati.com.co/detalle/14032-32-4028-a11935cf9935-19a5c5a-824e-7242,Casa en venta en Cuatro Esquinas,"Cuatro Esquinas, La Ceja, Antioquia",$ 2.300.000.000,334 m²,816 m²,5,4,1,5,2021,$ 896.000,Casa,Venta,N/A,2025-12-10 11:49,,Construcción,"🌿✨ ¡Tu hogar soñado en El Retiro te está esperando! ✨🌿Vive rodeado de naturaleza, exclusividad y confort en esta espectacular casa campestre, ideal para quienes buscan tranquilidad sin alejarse de la ciudad. 💚 rea lote: 816 m² rea construida: 324 m²💰 Valor: $2.300.000.000🧾 Administración: $896.000🛋 Distribución y detalles:5 habitaciones + estudioSala y comedor independientesCocina abierta moderna Bar interior Amplio jardín 🌸Jacuzzi privado 🌅 Zonas comunes exclusivasLago naturalSalón socialJuegos infantilesVigilancia 24 horas 👮♂ Un lugar donde la naturaleza y la comodidad se encuentran.Perfecto para disfrutar en familia o como inversión en una de las zonas más valorizadas del oriente antioqueño.📲 Contáctanos y agenda tu visita hoy mismo.","Parqueadero, Cocina amoblada, Vista panorámica, Alarma, Chimenea, Bodega, Balcón, Jacuzzi, Cuarto de servicio, Gas natural, Agua, Seguridad privada, Colegios, Parques, Centros comerciales",15,
https://www.properati.com.co/detalle/14032-32-f4b9-20ed87b5ad67-19a94f4-89b7-7362,Lote en venta en La Ceja,"La Ceja, Antioquia",$ 890.000.000,N/A,3.183 m²,N/A,N/A,N/A,5,2025,$ 400.000,Lote,Venta,N/A,2025-12-10 11:49,,Lote/Terreno,"🌿 ¡Tu próximo espacio ideal te está esperando! Descubre un proyecto diseñado para brindarte bienestar, comodidad y experiencias únicas sin salir de casa. Características del Lote Área total: 3183m² Administración: $400.000 ✨ Amenidades que elevan tu estilo de vida Este proyecto cuenta con espacios pensados para que disfrutes en familia, te conectes con la naturaleza y encuentres actividades para cada día: ⚽ Cancha sintética de fútbol 5 🎾 Cancha de tenis Senderos para caminar Cancha multifuncional 🌊 Lagos artificiales Club House 👶 Juegos infantiles 💪 Gimnasio al aire libre 🌟 Un lugar donde cada rincón ha sido diseñado para tu bienestar y esparcimiento. ¿Listo para conocer tu futuro hogar?","Seguridad privada, Colegios, Parques, Centros comerciales",4,
https://www.properati.com.co/detalle/14032-32-c845-776f3dba44a2-19a6bc2-961c-7e50,Casa en venta en Cuatro Esquinas,"Cuatro Esquinas, La Ceja, Antioquia",$ 2.650.000.000,328 m²,328 m²,4,4,1,5,2025,$ 1.200.000,Casa,Venta,N/A,2025-12-10 11:49,,Construcción,"SE VENDE CASA EXCLUSIVA EN RIONEGRO 🌄 A solo minutos del Túnel de Oriente Vive rodeado de naturaleza, en una zona tranquila y de alta valorización. Esta hermosa casa combina diseño moderno, sostenibilidad y paisajes increíbles. 🔹 Área construida: ~328 m² 🔹 Habitaciones: 3 + habitación de servicio 🔹 Baños: 3.5 🔹 Cocina integral amplia y moderna 🔹 Terraza con vista panorámica 🔹 Paneles solares – diseño sostenible 🔹 Acabados de lujo 👨‍👩‍👧‍👦 Zonas comunes: • Portería 24/7 • Zonas verdes y senderos ecológicos • Juegos infantiles • Salón social y zona BBQ Ubicación privilegiada: • Cerca al Túnel de Oriente • A 10 min del Aeropuerto JMC • Sector exclusivo, seguro y con alta valorización 💰 Precio: $2.600.000.000 Predial anual:$13.000.000 📲 Contáctame para más info o agendar visita.","Parqueadero, Cocina integral, Cuarto de servicio, Gas natural, Balcón, Vista panorámica, Alarma, Bodega, Seguridad privada, Colegios, Parques, Centros comerciales",12,
